time,Th1,Tfh,Tr1
1.6,159.0,351.0,182.0
1.65,161.0,337.0,178.0
1.7,157.0,332.0,176.0
1.75,148.0,334.0,172.0
1.8,144.0,331.0,174.0
1.85,137.0,317.0,167.0
1.9,127.0,311.0,166.0
1.95,123.0,302.0,162.0
2.0,120.0,289.0,160.0
2.05,112.0,275.0,157.0
2.1,114.0,271.0,146.0
2.15,110.0,258.0,144.0
2.2,108.0,249.0,134.0
2.25,105.0,242.0,134.0
2.3,101.0,241.0,127.0
2.35,100.0,234.0,124.0
2.4,97.0,228.0,119.0
2.45,93.0,221.0,116.0
2.5,91.0,216.0,111.0
2.55,94.0,209.0,106.0
2.6,90.0,205.0,110.0
2.65,88.0,197.0,112.0
2.7,84.0,192.0,110.0
2.75,82.0,183.0,105.0
2.8,82.0,171.0,103.0
2.85,80.0,165.0,101.0
2.9,76.0,158.0,98.0
2.95,70.0,152.0,93.0
